Trial,switch,t_pos,t_frequency,resp_speed,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight,simulated_RS
35,0,downRight,lowC,2.457393687809628,0,0,0,1,0.2156070039542519,0.3013528147720475,0.104909974352764,0.3781302069209364,2.5291987193547816
36,0,midRight,lowB,3.307035603044424,0,1,0,0,0.1509249027679763,0.5109469703404332,0.0734369820469348,0.2646911448446555,3.305632734657932
37,0,downLeft,high,2.4785968462147427,0,0,1,0,0.1056474319375834,0.3576628792383033,0.3514058874328544,0.1852838013912588,2.370023955786257
38,0,downLeft,high,3.4824276454357697,0,0,1,0,0.0739532023563084,0.2503640154668123,0.5459841212029981,0.1296986609738812,3.5715899653567287
39,0,downLeft,high,4.562069323048359,0,0,1,0,0.0517672416494159,0.1752548108267686,0.6821888848420987,0.0907890626817168,4.480667903346861
40,0,midLeft,lowA,2.2522127798213214,1,0,0,0,0.336237069154591,0.122678367578738,0.4775322193894691,0.0635523438772017,2.1048060882134156
41,0,midRight,lowB,2.4533633237586074,0,1,0,0,0.2353659484082137,0.3858748573051166,0.3342725535726284,0.0444866407140412,2.4944451958624514
42,0,downRight,lowC,2.274518583666959,0,0,0,1,0.1647561638857496,0.2701124001135816,0.2339907875008399,0.3311406484998288,2.070882782402663
43,0,midLeft,lowA,2.643071715278459,1,0,0,0,0.4153293147200247,0.1890786800795071,0.1637935512505879,0.2317984539498802,2.7707247269715394
44,0,downRight,lowC,2.967733851935439,0,0,0,1,0.2907305203040173,0.132355076055655,0.1146554858754115,0.4622589177649161,2.9565302752527036
45,0,downRight,lowC,4.111684646121959,0,0,0,1,0.2035113642128121,0.0926485532389585,0.080258840112788,0.6235812424354412,4.233926884111184
46,0,downLeft,high,2.2791102624018293,0,0,1,0,0.1424579549489684,0.0648539872672709,0.3561811880789516,0.4365068697048089,2.4215658645834024
47,0,downLeft,high,3.596002609011659,0,0,1,0,0.0997205684642779,0.0453977910870896,0.5493268316552661,0.3055548087933663,3.8200891067198417
48,0,downLeft,high,4.438832345750465,0,0,1,0,0.0698043979249945,0.0317784537609627,0.6845287821586863,0.2138883661553564,4.486667167643702
49,0,downLeft,high,5.224196528288188,0,0,1,0,0.0488630785474961,0.0222449176326739,0.7791701475110804,0.1497218563087494,5.017683154100362
50,0,downLeft,high,5.592096142281059,0,0,1,0,0.0342041549832473,0.0155714423428717,0.8454191032577563,0.1048052994161246,5.284797154419695
51,0,midLeft,lowA,2.063191101260011,1,0,0,0,0.3239429084882731,0.0109000096400102,0.5917933722804294,0.0733637095912872,2.0349330142041957
52,0,downLeft,high,4.56048933703441,0,0,1,0,0.2267600359417911,0.0076300067480071,0.7142553605963006,0.051354596713901,4.621697560676315
53,0,downLeft,high,5.0981261962507,0,0,1,0,0.1587320251592538,0.005341004723605,0.7999787524174105,0.0359482176997307,5.23774579889298
54,0,downRight,lowC,2.4246761361946008,0,0,0,1,0.1111124176114776,0.0037387033065235,0.5599851266921874,0.3251637523898115,2.157083863899386
55,0,downLeft,high,4.577288929367338,0,0,1,0,0.0777786923280343,0.0026170923145664,0.6919895886845311,0.227614626672868,4.452390360100015
56,0,downRight,lowC,3.0811418412991483,0,0,0,1,0.054445084629624,0.0018319646201965,0.4843927120791718,0.4593302386710076,3.0111409148397748
57,0,downLeft,high,4.144798766166806,0,0,1,0,0.0381115592407368,0.0012823752341375,0.6390748984554202,0.3215311670697053,4.164195209684767
58,0,downLeft,high,4.946113209709963,0,0,1,0,0.0266780914685157,0.0008976626638962,0.7473524289187942,0.2250718169487937,4.7940565431973114
59,0,downLeft,high,5.412778125341438,0,0,1,0,0.018674664027961,0.0006283638647274,0.823146700243156,0.1575502718641556,5.664819901344054
60,0,midLeft,lowA,2.176411367040492,1,0,0,0,0.3130722648195727,0.0004398547053091,0.5762026901702092,0.1102851903049089,1.9768130650403088
61,0,downLeft,high,4.519573437303307,0,0,1,0,0.2191505853737009,0.0003078982937164,0.7033418831191465,0.0771996332134362,4.577038288142465
62,0,downLeft,high,5.280851231970525,0,0,1,0,0.1534054097615906,0.0002155288056015,0.7923393181834025,0.0540397432494053,5.167659629765375
63,0,downLeft,high,5.384759285745131,0,0,1,0,0.1073837868331134,0.000150870163921,0.8546375227283818,0.0378278202745837,5.4862800836365135
64,0,downLeft,high,5.856957509691081,0,0,1,0,0.0751686507831794,0.0001056091147447,0.8982462659098672,0.0264794741922086,5.910100821086279
65,0,midLeft,lowA,2.354241819428481,1,0,0,0,0.3526180555482255,7.392638032131463e-05,0.628772386136907,0.018535631934546,2.299153578793047
66,0,downLeft,high,5.042805422959693,0,0,1,0,0.2468326388837579,5.174846622492024e-05,0.7401406702958349,0.0129749423541822,4.781643883875671
67,0,midRight,lowB,1.9687218267882507,0,1,0,0,0.1727828472186305,0.3000362239263574,0.5180984692070845,0.0090824596479275,2.0732030025966286
68,0,downLeft,high,4.492862833479753,0,0,1,0,0.1209479930530413,0.2100253567484502,0.6626689284449592,0.0063577217535492,4.40773293853
69,0,midRight,lowB,2.8833535796290453,0,1,0,0,0.0846635951371289,0.4470177497239151,0.4638682499114714,0.0044504052274845,2.959900102567373
70,0,downLeft,high,4.147921143746076,0,0,1,0,0.0592645165959902,0.3129124248067406,0.62470777493803,0.0031152836592391,4.14584319261015
71,0,downLeft,high,4.883288353552752,0,0,1,0,0.0414851616171931,0.2190386973647184,0.7372954424566209,0.0021806985614674,4.780675621465893
72,0,downLeft,high,5.330180718705004,0,0,1,0,0.0290396131320352,0.1533270881553028,0.8161068097196347,0.0015264889930271,5.43571973641998
73,0,midRight,lowB,2.719510335336388,0,1,0,0,0.0203277291924246,0.407328961708712,0.5712747668037443,0.001068542295119,2.6185074855040766
74,0,downLeft,high,4.665027058265548,0,0,1,0,0.0142294104346972,0.2851302731960984,0.6998923367626211,0.0007479796065833,4.619402511677709
75,0,midLeft,lowA,1.981533952928628,1,0,0,0,0.3099605873042881,0.1995911912372688,0.4899246357338347,0.0005235857246083,1.9195526963249132
76,0,downRight,lowC,1.887796846657804,0,0,0,1,0.2169724111130017,0.1397138338660882,0.3429472450136843,0.3003665100072258,1.947925747419892
77,0,downLeft,high,3.5778195051504373,0,0,1,0,0.1518806877791012,0.0977996837062617,0.540063071509579,0.210256557005058,3.5635438431706783
78,0,downLeft,high,4.493306200744472,0,0,1,0,0.1063164814453708,0.0684597785943832,0.6780441500567053,0.1471795899035406,4.496973491314434
79,0,downLeft,high,4.938638037837484,0,0,1,0,0.0744215370117595,0.0479218450160682,0.7746309050396937,0.1030257129324784,4.992086776505636
80,0,downRight,lowC,2.3567159223722443,0,0,0,1,0.0520950759082317,0.0335452915112477,0.5422416335277855,0.3721179990527349,2.356361763711432
81,0,downLeft,high,4.637704697189886,0,0,1,0,0.0364665531357622,0.0234817040578734,0.6795691434694499,0.2604825993369145,4.604161674572271
82,0,downRight,lowC,3.0488217706529137,0,0,0,1,0.0255265871950335,0.0164371928405114,0.4756984004286149,0.4823378195358401,3.0166262084765245
83,0,midRight,lowB,2.1965235909392065,0,1,0,0,0.0178686110365234,0.311506034988358,0.3329888803000304,0.3376364736750881,2.0290693973328167
84,0,downRight,lowC,3.3736659830827134,0,0,0,1,0.0125080277255664,0.2180542244918505,0.2330922162100213,0.5363455315725616,3.5843520175224475
85,0,downLeft,high,3.115245279491671,0,0,1,0,0.0087556194078965,0.1526379571442954,0.4631645513470149,0.3754418721007931,3.0891798781879882
86,0,downRight,lowC,3.618948226754039,0,0,0,1,0.0061289335855275,0.1068465700010067,0.3242151859429104,0.5628093104705552,3.718482704626029
87,0,midLeft,lowA,2.061073918269069,1,0,0,0,0.3042902535098692,0.0747925990007047,0.2269506301600373,0.3939665173293886,1.8707586098022497
88,0,downLeft,high,3.024291820560592,0,0,1,0,0.2130031774569085,0.0523548193004933,0.4588654411120261,0.275776562130572,3.013911112390884
89,0,downLeft,high,3.793726427788034,0,0,1,0,0.1491022242198359,0.0366483735103453,0.6212058087784182,0.1930435934914004,3.9994842471258387
90,0,midLeft,lowA,2.5990085659799007,1,0,0,0,0.4043715569538851,0.0256538614572417,0.4348440661448928,0.1351305154439803,2.7990143526748312
91,0,downLeft,high,3.9974090485916114,0,0,1,0,0.2830600898677196,0.0179577030200692,0.6043908463014249,0.0945913608107862,4.036263783352433
92,0,midLeft,lowA,3.153792799876519,1,0,0,0,0.4981420629074037,0.0125703921140484,0.4230735924109974,0.0662139525675503,3.213484574609776
93,0,downLeft,high,3.963044390302243,0,0,1,0,0.3486994440351826,0.0087992744798339,0.5961515146876982,0.0463497667972852,3.963122067002406
94,0,midLeft,lowA,3.580090239334824,1,0,0,0,0.5440896108246278,0.0061594921358837,0.4173060602813887,0.0324448367580996,3.561970402417627
95,0,downRight,lowC,2.165518186624916,0,0,0,1,0.3808627275772395,0.0043116444951186,0.2921142421969721,0.3227113857306697,2.0121367074187573
96,0,midRight,lowB,1.8053502883750896,0,1,0,0,0.2666039093040676,0.303018151146583,0.2044799695378805,0.2258979700114688,1.9880924642261104
97,0,downRight,lowC,2.953174538059073,0,0,0,1,0.1866227365128473,0.2121127058026081,0.1431359786765163,0.4581285790080281,3.0513461702032356
98,0,downLeft,high,2.6339026997985586,0,0,1,0,0.1306359155589931,0.1484788940618256,0.4001951850735614,0.3206900053056197,2.593900136142069
99,0,downLeft,high,3.795122877919642,0,0,1,0,0.0914451408912951,0.1039352258432779,0.580136629551493,0.2244830037139338,3.6948181386007115
100,1,downRight,lowC,3.0206036908064906,0,0,0,1,0.0640115986239066,0.0727546580902945,0.4060956406860451,0.4571381025997536,3.1194257980312416
101,1,midRight,lowA,2.415591439772306,0,1,0,0,0.0448081190367346,0.3509282606632062,0.2842669484802316,0.3199966718198275,2.1074294662192985
102,1,downLeft,lowB,3.3210259006357394,0,0,1,0,0.0313656833257142,0.2456497824642443,0.4989868639361621,0.2239976702738793,3.3309105956724747
103,1,midLeft,high,2.142662705799195,1,0,0,0,0.321955978328,0.171954847724971,0.3492908047553135,0.1567983691917155,2.1163386141605027
104,1,downRight,lowC,2.662764543438232,0,0,0,1,0.2253691848296,0.1203683934074797,0.2445035633287194,0.4097588584342008,2.763617241105179
105,1,midLeft,high,2.841525042038374,1,0,0,0,0.45775842938072,0.0842578753852358,0.1711524943301036,0.2868312009039406,2.928839990051459
106,1,midLeft,high,4.035256741027123,1,0,0,0,0.620430900566504,0.058980512769665,0.1198067460310725,0.2007818406327584,4.046349140496721
107,1,midRight,lowA,2.23844264103661,0,1,0,0,0.4343016303965528,0.3412863589387656,0.0838647222217507,0.1405472884429309,2.1375673881667634
108,1,midLeft,high,3.9869520220176,1,0,0,0,0.6040111412775869,0.2389004512571359,0.0587053055552255,0.0983831019100516,3.976544715264971
109,1,downLeft,lowB,2.285931445406268,0,0,1,0,0.4228077988943108,0.1672303158799951,0.3410937138886578,0.0688681713370361,2.163014897183196
110,1,midLeft,high,3.961384597505733,1,0,0,0,0.5959654592260176,0.1170612211159966,0.2387655997220605,0.0482077199359253,3.8619176145492338
111,1,midLeft,high,4.707642565234931,1,0,0,0,0.7171758214582123,0.0819428547811976,0.1671359198054423,0.0337454039551477,4.559911981013538
112,1,downRight,lowC,2.202698899615905,0,0,0,1,0.5020230750207486,0.0573599983468383,0.1169951438638096,0.3236217827686034,2.1822924439316633
113,1,midLeft,high,4.360262503230075,1,0,0,0,0.651416152514524,0.0401519988427868,0.0818966007046667,0.2265352479380224,4.312304953288221
114,1,midLeft,high,4.962899722090366,1,0,0,0,0.7559913067601668,0.0281063991899507,0.0573276204932667,0.1585746735566157,5.0154180179166925
115,1,downLeft,lowB,2.3422812535307203,0,0,1,0,0.5291939147321167,0.0196744794329655,0.3401293343452867,0.1110022714896309,2.3211217300543
116,1,downLeft,lowB,3.615446999782795,0,0,1,0,0.3704357403124817,0.0137721356030758,0.5380905340417007,0.0777015900427416,3.335817269848414
117,1,midLeft,high,3.7508613046562314,1,0,0,0,0.5593050182187372,0.0096404949221531,0.3766633738291904,0.0543911130299191,3.6115513578953538
118,1,midRight,lowA,2.0447390471972398,0,1,0,0,0.3915135127531161,0.3067483464455072,0.2636643616804333,0.0380737791209434,2.009392968749765
119,1,midLeft,high,3.763651038927157,1,0,0,0,0.5740594589271812,0.214723842511855,0.1845650531763033,0.0266516453846603,3.8786025478951003
120,1,midLeft,high,4.617077306315421,1,0,0,0,0.7018416212490268,0.1503066897582985,0.1291955372234123,0.0186561517692622,4.585634399267329
121,1,midLeft,high,5.116595306868684,1,0,0,0,0.7912891348743187,0.1052146828308089,0.0904368760563886,0.0130593062384835,5.2320041868026
122,1,midLeft,high,5.60102484657041,1,0,0,0,0.8539023944120231,0.0736502779815662,0.063305813239472,0.0091415143669385,5.432909817975637
123,1,downLeft,lowB,2.109081438420748,0,0,1,0,0.5977316760884162,0.0515551945870964,0.3443140692676304,0.0063990600568569,2.1989260933811225
124,1,midLeft,high,4.59079389398312,1,0,0,0,0.7184121732618913,0.0360886362109674,0.2410198484873413,0.0044793420397998,4.561255212738102
125,1,midRight,lowA,2.106140478115198,0,1,0,0,0.502888521283324,0.3252620453476772,0.1687138939411389,0.0031355394278599,2.182857912815242
126,1,midLeft,high,4.221744687172345,1,0,0,0,0.6520219648983268,0.227683431743374,0.1180997257587972,0.0021948775995019,4.305281762811752
127,1,midLeft,high,4.872174754290855,1,0,0,0,0.7564153754288288,0.1593784022203618,0.082669808031158,0.0015364143196513,4.999651601639414
128,1,midLeft,high,5.354088815831299,1,0,0,0,0.8294907628001801,0.1115648815542533,0.0578688656218106,0.0010754900237559,5.396763958685024
129,1,midLeft,high,5.6408968680908,1,0,0,0,0.8806435339601261,0.0780954170879773,0.0405082059352674,0.0007528430166291,5.707892106477101
130,1,midLeft,high,6.038228967816741,1,0,0,0,0.9164504737720882,0.0546667919615841,0.0283557441546872,0.0005269901116404,6.058580910382144
131,1,midLeft,high,6.159961659444034,1,0,0,0,0.9415153316404618,0.0382667543731088,0.019849020908281,0.0003688930781482,6.079040968270784
132,1,downLeft,lowB,1.982419253397492,0,0,1,0,0.6590607321483233,0.0267867280611762,0.3138943146357967,0.0002582251547038,1.9974842356097766
133,1,downRight,lowC,2.074920475499925,0,0,0,1,0.4613425125038263,0.0187507096428233,0.2197260202450577,0.3001807576082926,2.020579849668416
134,1,midLeft,high,4.02500578268677,1,0,0,0,0.6229397587526784,0.0131254967499763,0.1538082141715404,0.2101265303258048,4.191062642968285
135,1,midLeft,high,4.583054653575366,1,0,0,0,0.7360578311268748,0.0091878477249834,0.1076657499200782,0.1470885712280634,4.733896564371115
136,1,midRight,lowA,1.8425819994208223,0,1,0,0,0.5152404817888124,0.3064314934074884,0.0753660249440547,0.1029619998596443,2.0717784125653202
137,1,downRight,lowC,2.392165169793011,0,0,0,1,0.3606683372521687,0.2145020453852418,0.0527562174608383,0.372073399901751,2.4390479517358106
138,1,midRight,lowA,2.9188103195218176,0,1,0,0,0.2524678360765181,0.4501514317696693,0.0369293522225868,0.2604513799312257,2.877941278624518
139,1,midRight,lowA,3.900329082049338,0,1,0,0,0.1767274852535627,0.6151060022387685,0.0258505465558107,0.182315965951858,4.0125216403850095
140,1,midLeft,high,2.665496640992629,1,0,0,0,0.4237092396774938,0.430574201567138,0.0180953825890675,0.1276211761663006,2.703104613089327
141,1,downRight,lowC,2.5653504914313165,0,0,0,1,0.2965964677742457,0.3014019410969966,0.0126667678123472,0.3893348233164104,2.5368372005568642
142,1,midRight,lowA,3.267453282510634,0,1,0,0,0.2076175274419719,0.5109813587678976,0.0088667374686431,0.2725343763214873,3.502604237838066
143,1,midLeft,high,3.069546102748556,1,0,0,0,0.4453322692093803,0.3576869511375283,0.0062067162280501,0.1907740634250411,3.1788762926754193
144,1,midLeft,high,4.104786343923538,1,0,0,0,0.6117325884465662,0.2503808657962698,0.0043447013596351,0.1335418443975287,3.947389553402568
145,1,downLeft,lowB,1.875661184261031,0,0,1,0,0.4282128119125963,0.1752666060573889,0.3030412909517445,0.0934792910782701,2.0355690505366963
146,1,midRight,lowA,2.863151959891084,0,1,0,0,0.2997489683388174,0.4226866242401722,0.2121289036662211,0.0654355037547891,2.9367617590256945
147,1,midLeft,high,3.36003327275055,1,0,0,0,0.5098242778371722,0.2958806369681205,0.1484902325663548,0.0458048526283523,3.3265187930762115
148,1,midLeft,high,4.342123804395958,1,0,0,0,0.6568769944860205,0.2071164458776844,0.1039431627964483,0.0320633968398466,4.207860734343323
149,1,downLeft,lowB,2.3807032510505577,0,0,1,0,0.4598138961402144,0.1449815121143791,0.3727602139575138,0.0224443777878926,2.4178272914415415
150,1,midLeft,high,3.920864563801337,1,0,0,0,0.62186972729815,0.1014870584800653,0.2609321497702597,0.0157110644515248,4.028880579041596
151,1,downLeft,lowB,3.0294535522229937,0,0,1,0,0.435308809108705,0.0710409409360457,0.4826525048391817,0.0109977451160674,3.2157692531855173
152,1,midLeft,high,4.176290814787839,1,0,0,0,0.6047161663760936,0.049728658655232,0.3378567533874272,0.0076984215812471,3.9458883843025787
153,1,downRight,lowC,2.1496813479867467,0,0,0,1,0.4233013164632655,0.0348100610586624,0.2364997273711991,0.305388895106873,2.011791111629785
154,1,downLeft,lowB,2.977881948625831,0,0,1,0,0.2963109215242858,0.0243670427410637,0.4655498091598393,0.2137722265748111,3.1259138747327455
155,1,downRight,lowC,2.7555538325695714,0,0,0,1,0.2074176450670001,0.0170569299187445,0.3258848664118875,0.4496405586023677,3.0172429657088204
156,1,downLeft,lowB,3.611067494177144,0,0,1,0,0.1451923515469,0.0119398509431212,0.5281194064883212,0.3147483910216574,3.3908169128431562
157,1,downRight,lowC,3.3753071073528416,0,0,0,1,0.10163464608283,0.0083578956601848,0.3696835845418249,0.5203238737151602,3.5288047328526346
158,1,midLeft,high,2.441225597042803,1,0,0,0,0.371144252257981,0.0058505269621293,0.2587785091792774,0.3642267116006121,2.356765410811341
159,1,downLeft,lowB,3.2115861985521192,0,0,1,0,0.2598009765805867,0.0040953688734905,0.4811449564254942,0.2549586981204285,3.143029790965683
160,1,midRight,lowA,1.9608430815555065,0,1,0,0,0.1818606836064107,0.3028667582114434,0.3368014694978459,0.1784710886842999,2.2160017110368786
161,1,midLeft,high,2.7196355959875897,1,0,0,0,0.4273024785244874,0.2120067307480104,0.2357610286484922,0.1249297620790099,2.645091309897206
162,1,midRight,lowA,3.0650892556890894,0,1,0,0,0.2991117349671412,0.4484047115236073,0.1650327200539445,0.0874508334553069,2.898755089426181
163,1,downLeft,lowB,2.909177257040694,0,0,1,0,0.2093782144769988,0.3138832980665251,0.4155229040377611,0.0612155834187148,2.558159129369073
164,1,midLeft,high,2.961236369707542,1,0,0,0,0.4465647501338992,0.2197183086465675,0.2908660328264328,0.0428509083931004,2.995060067091444
165,1,downLeft,lowB,3.27686770395452,0,0,1,0,0.3125953250937294,0.1538028160525972,0.503606222978503,0.0299956358751702,3.2721727035657557
166,1,downRight,lowC,2.1616463447085126,0,0,0,1,0.2188167275656106,0.107661971236818,0.3525243560849521,0.3209969451126191,2.163312242455861
167,1,midLeft,high,2.989727376113238,1,0,0,0,0.4531717092959274,0.0753633798657726,0.2467670492594665,0.2246978615788334,3.083173617311044
168,1,midLeft,high,3.897748574456018,1,0,0,0,0.6172201965071492,0.0527543659060408,0.1727369344816265,0.1572885031051833,4.013300969573735
169,1,midLeft,high,4.727377008420984,1,0,0,0,0.7320541375550045,0.0369280561342286,0.1209158541371386,0.1101019521736283,4.766546668171856
170,1,downRight,lowC,2.3415061620710893,0,0,0,1,0.5124378962885031,0.02584963929396,0.084641097895997,0.3770713665215398,2.452032408647168
171,1,midLeft,high,4.328508734279553,1,0,0,0,0.6587065274019521,0.018094747505772,0.0592487685271979,0.2639499565650779,4.542667644799333
172,1,midLeft,high,4.870860625925706,1,0,0,0,0.7610945691813665,0.0126663232540404,0.0414741379690385,0.1847649695955545,5.117218216841581
173,1,downRight,lowC,2.7160547223195373,0,0,0,1,0.5327661984269566,0.0088664262778282,0.0290318965783269,0.4293354787168881,2.671527047498885
174,1,downRight,lowC,3.950976643243693,0,0,0,1,0.3729363388988696,0.0062064983944798,0.0203223276048288,0.6005348351018217,3.721196335894399
175,1,midLeft,high,3.7274938349993447,1,0,0,0,0.5610554372292087,0.0043445488761358,0.0142256293233802,0.4203743845712752,3.732398855613313
176,1,midRight,lowA,1.883099861861353,0,1,0,0,0.3927388060604461,0.303041184213295,0.0099579405263661,0.2942620691998926,2.08674284270918
177,1,downLeft,lowB,1.9862523590552743,0,0,1,0,0.2749171642423123,0.2121288289493065,0.3069705583684563,0.2059834484399248,2.173391299040873
178,1,midRight,lowA,2.914090018398652,0,1,0,0,0.1924420149696186,0.4484901802645146,0.2148793908579194,0.1441884139079474,3.0214689752432666
179,1,midLeft,high,2.864631832282657,1,0,0,0,0.434709410478733,0.3139431261851602,0.1504155736005436,0.1009318897355631,3.020074422050971
180,1,midLeft,high,3.853995389826261,1,0,0,0,0.6042965873351132,0.2197601883296121,0.1052909015203805,0.0706523228148942,3.8419852835679422
181,1,midLeft,high,4.844687877133463,1,0,0,0,0.7230076111345792,0.1538321318307285,0.0737036310642663,0.0494566259704259,4.8251949673552925
182,1,midLeft,high,5.162370436708002,1,0,0,0,0.8061053277942054,0.1076824922815099,0.0515925417449864,0.0346196381792981,5.199960979922339
183,1,midRight,lowA,2.518891267599556,0,1,0,0,0.5642737294559438,0.375377744597057,0.0361147792214905,0.0242337467255087,2.4974411564923535
184,1,downRight,lowC,2.1565418675700267,0,0,0,1,0.3949916106191606,0.2627644212179398,0.0252803454550433,0.3169636227078561,1.9648889513930754
185,1,midLeft,high,3.9204670717737145,1,0,0,0,0.5764941274334124,0.1839350948525579,0.0176962418185303,0.2218745358954992,3.8276843124232887
186,1,midRight,lowA,2.86684028165603,0,1,0,0,0.4035458892033887,0.4287545663967905,0.0123873692729712,0.1553121751268494,2.9908797055329432
187,1,downRight,lowC,2.9721305748515534,0,0,0,1,0.2824821224423721,0.3001281964777533,0.0086711584910798,0.4087185225887946,2.6792861488619417
188,1,midLeft,high,3.309141734555622,1,0,0,0,0.4977374857096605,0.2100897375344273,0.0060698109437559,0.2861029658121562,3.337278025155231
189,1,downLeft,lowB,1.9619383520494715,0,0,1,0,0.3484162399967623,0.1470628162740991,0.3042488676606291,0.2002720760685093,2.166895077313793
190,1,midLeft,high,3.69734064905769,1,0,0,0,0.5438913679977336,0.1029439713918694,0.2129742073624403,0.1401904532479565,3.4335004559585283
191,1,midLeft,high,4.483214851690898,1,0,0,0,0.6807239575984135,0.0720607799743085,0.1490819451537082,0.0981333172735695,4.451321214069464
192,1,midLeft,high,4.98683573585491,1,0,0,0,0.7765067703188895,0.050442545982016,0.1043573616075957,0.0686933220914987,4.880723658791135
